"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_8_6049792_206630912"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"198209536"	"0"	"null"	"unknown"	"r---------"	"/img_finalDI.001/vol_vol2/$Unalloc/Unalloc_8_6049792_206630912"
"Unalloc_3_0_65536"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"65536"	"0"	"null"	"unknown"	"r---------"	"/img_finalDI.001/vol_vol1/Unalloc_3_0_65536"
"Unalloc_7_206635008_209715200"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"3080192"	"0"	"null"	"unknown"	"r---------"	"/img_finalDI.001/vol_vol3/Unalloc_7_206635008_209715200"
"$AttrDef"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2560"	"4"	"ad617ac3906958de35eacc3d90d31043"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"0"	"8"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"206565376"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"206565376"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"6304"	"6"	"df86785d863d675f3252cb8ac7e04fe1"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"1888"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Bitmap-slack"
"$Boot"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"8192"	"7"	"92570df559514c4917d72232f92ad3e4"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Boot"
"$ObjId"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"0"	"25"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"0"	"24"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"0"	"28"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Extend/$RmMetadata/$Repair"
"$Repair:$Config"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"8"	"28"	"ab981967d9f545695c396db3787f8a49"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Extend/$RmMetadata/$Repair:$Config"
"$Tops"	""	"r"	""	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"2025-12-02 19:54:00 IST"	"100"	"32"	"4d4c88f4ce601402aa2a345d6dd6bd03"	"unknown"	"rr-xr-xr-x"	"/img_finalDI.001/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops"
